,1,2,3,4,5,6,7,8,9,10
0,0,514.6270375,1571.24342,1338.161126,3022.660884,2006.702668,9032.333023,15747.23423,14100.14469,5554.786693
1,0,0,1081.379335,827.840658,2511.458859,1637.729438,8521.197863,15239.87707,13684.60676,5047.516256
2,0,0,0,566.5510174,1649.389172,910.9943878,7588.40454,14328.22619,12643.98564,4167.636533
3,0,0,0,0,1684.516012,1405.10908,7694.276701,14412.05662,13125.351,4219.760574
4,0,0,0,0,0,2124.263362,6009.820223,12731.39763,12006.39462,2542.569354
5,0,0,0,0,0,0,7742.628117,14474.55412,12167.79387,4452.971685
6,0,0,0,0,0,0,0,6743.8841,9545.879403,3494.222416
7,0,0,0,0,0,0,0,0,11524.50565,10192.52501
8,0,0,0,0,0,0,0,0,0,10883.38219
9,0,0,0,0,0,0,0,0,0,0
